id,_name,_prefix,_province_id,sync_words
394,Phú Tân,Huyện,30,"phu tan,huyen phu tan"
395,Tân Châu,Thị xã,30,"tan chau,thi xa tan chau"
396,Thoại Sơn,Huyện,30,"thoai son,huyen thoai son"
397,Tịnh Biên,Huyện,30,"tinh bien,huyen tinh bien"
398,Tri Tôn,Huyện,30,"tri ton,huyen tri ton"
399,Bình Xuyên,Huyện,31,"binh xuyen,huyen binh xuyen"
400,Lập Thạch,Huyện,31,"lap thach,huyen lap thach"
401,Phúc Yên,Thị xã,31,"phuc yen,thi xa phuc yen"
402,Sông Lô,Huyện,31,"song lo,huyen song lo"
403,Tam Đảo,Huyện,31,"tam dao,huyen tam dao"
404,Tam Dương,Huyện,31,"tam duong,huyen tam duong"
405,Vĩnh Tường,Huyện,31,"vinh tuong,huyen vinh tuong"
406,Vĩnh Yên,Thành phố,31,"vinh yen,thanh pho vinh yen"
407,Yên Lạc,Huyện,31,"yen lac,huyen yen lac"
408,Bến Cầu,Huyện,32,"ben cau,huyen ben cau"
409,Châu Thành,Huyện,32,"chau thanh,huyen chau thanh"
410,Dương Minh Châu,Huyện,32,"duong minh chau,huyen duong minh chau"
411,Gò Dầu,Huyện,32,"go dau,huyen go dau"
412,Hòa Thành,Huyện,32,"hoa thanh,huyen hoa thanh"
413,Tân Biên,Huyện,32,"tan bien,huyen tan bien"
414,Tân Châu,Huyện,32,"tan chau,huyen tan chau"
415,Tây Ninh,Thị xã,32,"tay ninh,thi xa tay ninh"
416,Trảng Bàng,Huyện,32,"trang bang,huyen trang bang"
417,Đại Từ,Huyện,33,"dai tu,huyen dai tu"
418,Định Hóa,Huyện,33,"dinh hoa,huyen dinh hoa"
419,Đồng Hỷ,Huyện,33,"dong hy,huyen dong hy"
420,Phổ Yên,Huyện,33,"pho yen,huyen pho yen"
421,Phú Bình,Huyện,33,"phu binh,huyen phu binh"
422,Phú Lương,Huyện,33,"phu luong,huyen phu luong"
423,Sông Công,Thị xã,33,"song cong,thi xa song cong"
424,Thái Nguyên,Thành phố,33,"thai nguyen,thanh pho thai nguyen"
425,Võ Nhai,Huyện,33,"vo nhai,huyen vo nhai"
426,Bắc Hà,Huyện,34,"bac ha,huyen bac ha"
427,Bảo Thắng,Huyện,34,"bao thang,huyen bao thang"
428,Bảo Yên,Huyện,34,"bao yen,huyen bao yen"
429,Bát Xát,Huyện,34,"bat xat,huyen bat xat"
430,Lào Cai,Thành phố,34,"lao cai,thanh pho lao cai"
431,Mường Khương,Huyện,34,"muong khuong,huyen muong khuong"
432,Sa Pa,Huyện,34,"sa pa,huyen sa pa"
433,Văn Bàn,Huyện,34,"van ban,huyen van ban"
434,Xi Ma Cai,Huyện,34,"xi ma cai,huyen xi ma cai"
435,Giao Thủy,Huyện,35,"giao thuy,huyen giao thuy"
436,Hải Hậu,Huyện,35,"hai hau,huyen hai hau"
437,Mỹ Lộc,Huyện,35,"my loc,huyen my loc"
438,Nam Định,Thành phố,35,"nam dinh,thanh pho nam dinh"
439,Nam Trực,Huyện,35,"nam truc,huyen nam truc"
440,Nghĩa Hưng,Huyện,35,"nghia hung,huyen nghia hung"
441,Trực Ninh,Huyện,35,"truc ninh,huyen truc ninh"
442,Vụ Bản,Huyện,35,"vu ban,huyen vu ban"
443,Xuân Trường,Huyện,35,"xuan truong,huyen xuan truong"
444,Ý Yên,Huyện,35,"y yen,huyen y yen"
445,Ba Tơ,Huyện,36,"ba to,huyen ba to"
446,Bình Sơn,Huyện,36,"binh son,huyen binh son"
447,Đức Phổ,Huyện,36,"duc pho,huyen duc pho"
448,Lý Sơn,Huyện,36,"ly son,huyen ly son"
449,Minh Long,Huyện,36,"minh long,huyen minh long"
450,Mộ Đức,Huyện,36,"mo duc,huyen mo duc"
451,Nghĩa Hành,Huyện,36,"nghia hanh,huyen nghia hanh"
452,Quảng Ngãi,Thành phố,36,"quang ngai,thanh pho quang ngai"
453,Sơn Hà,Huyện,36,"son ha,huyen son ha"
454,Sơn Tây,Huyện,36,"son tay,huyen son tay"
455,Sơn Tịnh,Huyện,36,"son tinh,huyen son tinh"
456,Tây Trà,Huyện,36,"tay tra,huyen tay tra"
457,Trà Bồng,Huyện,36,"tra bong,huyen tra bong"
458,Tư Nghĩa,Huyện,36,"tu nghia,huyen tu nghia"
459,Ba Tri,Huyện,37,"ba tri,huyen ba tri"
460,Bến Tre,Thành phố,37,"ben tre,thanh pho ben tre"
461,Bình Đại,Huyện,37,"binh dai,huyen binh dai"
462,Châu Thành,Huyện,37,"chau thanh,huyen chau thanh"
463,Chợ Lách,Huyện,37,"cho lach,huyen cho lach"
464,Giồng Trôm,Huyện,37,"giong trom,huyen giong trom"
465,Mỏ Cày Bắc,Huyện,37,"mo cay bac,huyen mo cay bac"
466,Mỏ Cày Nam,Huyện,37,"mo cay nam,huyen mo cay nam"
467,Thạnh Phú,Huyện,37,"thanh phu,huyen thanh phu"
468,Cư Jút,Huyện,38,"cu jut,huyen cu jut"
469,Dăk GLong,Huyện,38,"dak glong,huyen dak glong"
470,Dăk Mil,Huyện,38,"dak mil,huyen dak mil"
471,Dăk R'Lấp,Huyện,38,"dak r'lap,huyen dak r'lap"
472,Dăk Song,Huyện,38,"dak song,huyen dak song"
473,Gia Nghĩa,Thị xã,38,"gia nghia,thi xa gia nghia"
474,Krông Nô,Huyện,38,"krong no,huyen krong no"
475,Tuy Đức,Huyện,38,"tuy duc,huyen tuy duc"
476,Cà Mau,Thành phố,39,"ca mau,thanh pho ca mau"
477,Cái Nước,Huyện,39,"cai nuoc,huyen cai nuoc"
478,Đầm Dơi,Huyện,39,"dam doi,huyen dam doi"
479,Năm Căn,Huyện,39,"nam can,huyen nam can"
480,Ngọc Hiển,Huyện,39,"ngoc hien,huyen ngoc hien"
481,Phú Tân,Huyện,39,"phu tan,huyen phu tan"
482,Thới Bình,Huyện,39,"thoi binh,huyen thoi binh"
483,Trần Văn Thời,Huyện,39,"tran van thoi,huyen tran van thoi"
484,U Minh,Huyện,39,"u minh,huyen u minh"
485,Bình Minh,Huyện,40,"binh minh,huyen binh minh"
486,Bình Tân,Quận,40,"binh tan,quan binh tan"
487,Long Hồ,Huyện,40,"long ho,huyen long ho"
488,Mang Thít,Huyện,40,"mang thit,huyen mang thit"
489,Tam Bình,Huyện,40,"tam binh,huyen tam binh"
490,Trà Ôn,Huyện,40,"tra on,huyen tra on"
491,Vĩnh Long,Thành phố,40,"vinh long,thanh pho vinh long"
492,Vũng Liêm,Huyện,40,"vung liem,huyen vung liem"
