"id","_name","_prefix","_province_id","_district_id","sync_words","priority_sync_words"
105,Hiệp Phước,Phường,1,8,hiep phuoc,phuong hiep phuoc
106,Long Thới,Xã,1,8,long thoi,xa long thoi
107,Nhà Bè,Thị trấn,1,8,nha be,thi tran nha be
108,Nhơn Đức,Xã,1,8,nhon duc,xa nhon duc
109,Phú Xuân,Xã,1,8,phu xuan,xa phu xuan
110,Phước Kiển,Xã,1,8,phuoc kien,xa phuoc kien
111,Phước Lộc,Xã,1,8,phuoc loc,xa phuoc loc
112,"1",Phường,1,9,"1",phuong 1
113,"10",Phường,1,9,"10",phuong 10
114,"11",Phường,1,9,"11",phuong 11
115,"12",Phường,1,9,"12",phuong 12
116,"13",Phường,1,9,"13",phuong 13
117,"14",Phường,1,9,"14",phuong 14
118,"15",Phường,1,9,"15",phuong 15
119,"17",Phường,1,9,"17",phuong 17
120,"2",Phường,1,9,"2",phuong 2
121,"25",Phường,1,9,"25",phuong 25
122,"3",Phường,1,9,"3",phuong 3
123,"4",Phường,1,9,"4",phuong 4
124,"5",Phường,1,9,"5",phuong 5
125,"6",Phường,1,9,"6",phuong 6
126,"7",Phường,1,9,"7",phuong 7
127,"8",Phường,1,9,"8",phuong 8
128,"9",Phường,1,9,"9",phuong 9
129,Bến Nghé,Phường,1,10,ben nghe,phuong ben nghe
130,Bến Thành,Phường,1,10,ben thanh,phuong ben thanh
131,Cầu Kho,Phường,1,10,cau kho,phuong cau kho
132,Cầu Ông Lãnh,Phường,1,10,cau ong lanh,phuong cau ong lanh
133,Cô Giang,Phường,1,10,co giang,phuong co giang
134,Đa Kao,Phường,1,10,da kao,phuong da kao
135,Nguyễn Cư Trinh,Phường,1,10,nguyen cu trinh,phuong nguyen cu trinh
136,Nguyễn Thái Bình,Phường,1,10,nguyen thai binh,phuong nguyen thai binh
137,Phạm Ngũ Lão,Phường,1,10,pham ngu lao,phuong pham ngu lao
138,Tân Định,Phường,1,10,tan dinh,phuong tan dinh
139,"1",Phường,1,11,"1",phuong 1
140,"10",Phường,1,11,"10",phuong 10
141,"11",Phường,1,11,"11",phuong 11
142,"12",Phường,1,11,"12",phuong 12
143,"13",Phường,1,11,"13",phuong 13
144,"14",Phường,1,11,"14",phuong 14
145,"15",Phường,1,11,"15",phuong 15
146,"2",Phường,1,11,"2",phuong 2
147,"3",Phường,1,11,"3",phuong 3
148,"4",Phường,1,11,"4",phuong 4
149,"5",Phường,1,11,"5",phuong 5
150,"6",Phường,1,11,"6",phuong 6
151,"7",Phường,1,11,"7",phuong 7
152,"8",Phường,1,11,"8",phuong 8
153,"9",Phường,1,11,"9",phuong 9
154,"1",Phường,1,12,"1",phuong 1
155,"10",Phường,1,12,"10",phuong 10
156,"11",Phường,1,12,"11",phuong 11
157,"12",Phường,1,12,"12",phuong 12
158,"13",Phường,1,12,"13",phuong 13
159,"14",Phường,1,12,"14",phuong 14
160,"15",Phường,1,12,"15",phuong 15
161,"16",Phường,1,12,"16",phuong 16
162,"2",Phường,1,12,"2",phuong 2
163,"3",Phường,1,12,"3",phuong 3
164,"4",Phường,1,12,"4",phuong 4
165,"5",Phường,1,12,"5",phuong 5
166,"6",Phường,1,12,"6",phuong 6
